Title,Meta Score,Star Rating,Director,Year,Runtime,Rating
217. Children of a Lesser God,80,7.2,Stephen Frears,1986,1h 59m,R
218. Hannah and Her Sisters,90,7.8,Alan Parker,1986,1h 47m,PG-13
219. The Mission,55,7.4,Mike Nichols,1986,2h 5m,PG
220. A Room with a View,83,7.2,Bernardo Bertolucci,1985,1h 57m,Not Rated
221. Out of Africa,69,7.1,James L. Brooks,1985,2h 41m,PG
222. The Color Purple,78,7.7,Adrian Lyne,1985,2h 34m,PG-13
223. Kiss of the Spider Woman,80,7.3,John Boorman,1985,2h,R
224. Prizzi's Honor,84,6.7,Norman Jewison,1985,2h 10m,R
225. Witness,76,7.4,Oliver Stone,1985,1h 52m,R
226. Amadeus,87,8.4,Randa Haines,1984,2h 40m,PG
227. The Killing Fields,76,7.8,Woody Allen,1984,2h 21m,R
228. A Passage to India,78,7.3,Roland Joffé,1984,2h 44m,PG
229. Places in the Heart,70,7.4,James Ivory,1984,1h 51m,PG
230. A Soldier's Story,66,7.2,Sydney Pollack,1984,1h 41m,PG
231. Terms of Endearment,79,7.4,Steven Spielberg,1983,2h 12m,PG
232. The Big Chill,61,7.1,Hector Babenco,1983,1h 45m,R
233. The Dresser,91,7.5,John Huston,1983,1h 58m,PG
234. The Right Stuff,76,7.8,Peter Weir,1983,3h 13m,PG
235. Tender Mercies,79,7.3,Milos Forman,1983,1h 32m,PG
236. Gandhi,92,8.0,Roland Joffé,1982,3h 11m,PG
237. E.T. the Extra-Terrestrial,78,7.9,David Lean,1982,1h 55m,PG
238. Missing,88,7.7,Robert Benton,1982,2h 2m,PG
239. Tootsie,77,7.4,Norman Jewison,1982,1h 56m,PG
240. The Verdict,78,7.7,James L. Brooks,1982,2h 9m,R
241. Chariots of Fire,85,7.1,Lawrence Kasdan,1981,2h 5m,PG
242. Atlantic City,68,7.3,Peter Yates,1980,1h 44m,R
243. On Golden Pond,86,7.6,Philip Kaufman,1981,1h 49m,PG
244. Raiders of the Lost Ark,76,8.4,Bruce Beresford,1981,1h 55m,PG
245. Reds,86,7.3,Richard Attenborough,1981,3h 15m,PG
246. Ordinary People,84,7.7,Steven Spielberg,1980,2h 4m,R
247. Coal Miner's Daughter,78,7.5,Costa-Gavras,1980,2h 4m,PG
248. The Elephant Man,90,8.2,Sydney Pollack,1980,2h 4m,PG
249. Raging Bull,82,8.1,Sidney Lumet,1980,2h 9m,R
250. Tess,N/A,7.3,Hugh Hudson,1979,3h 6m,PG
More to explore,N/A,N/A,Louis Malle,N/A,N/A,N/A
Feedback,N/A,N/A,Mark Rydell,N/A,N/A,N/A
Recently viewed,N/A,N/A,Steven Spielberg,N/A,N/A,N/A
